;iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;mes
42;CHN;Asia;China;31/07/2020;87489;276;4659;0;61;0.192;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;1439323774;147.674;38.7;10.641;5.929;15.308.712;0.7;261.899;9.74;1.9;48.4;NA;4.34;76.91;7
43;COL;South America;Colombia;31/07/2020;286020;9965;9810;356;5621;195.842;193;6.996;35990;1573679;30.927;0.707;32025;0.629;3.758;0.266;samples tested;NA;50882884;44.223;32.2;7.646;4.312;13.254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;7
44;COM;Africa;Comoros;31/07/2020;378;0;7;0;435;0;8;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;869595;437.352;20.4;2.963;1.726;1413.89;18.1;261.516;11.88;4.4;23.6;15.574;2.2;64.32;7
45;COG;Africa;Congo;31/07/2020;3376;176;56;2;612;31.895;10;0.362;NA;NA;NA;NA;NA;NA;NA;NA;;62.04;5518092;15.405;19;3.402;2.063;4.881.406;37;344.094;7.2;1.7;52.3;47.964;NA;64.57;7
46;CRI;North America;Costa Rica;31/07/2020;17290;490;140;7;3394;96.189;27;1.374;1744;76728;15.062;0.342;1693;0.332;2.848;0.351;people tested;NA;5094114;96.079;33.6;9.468;5.694;15.524.995;1.3;137.973;8.78;6.4;17.4;83.841;1.13;80.28;7
47;CIV;Africa;Cote d'Ivoire;31/07/2020;15978;165;100;1;606;6.255;4;0.038;951;100685;3.817;0.036;1290;0.049;9.243;0.108;samples tested;26.39;26378275;76.399;18.7;2.933;1.582;3.601.006;28.2;303.74;2.42;NA;NA;19.351;NA;57.78;7
48;HRV;Europe;Croatia;31/07/2020;5071;78;144;3;1235;19;35;0.731;1785;118955;28.976;0.435;1371;0.334;21.961;0.046;people tested;24.07;4105268;73.726;44;19.724;13.053;22.669.797;0.7;253.782;5.59;34.3;39.9;NA;5.54;78.49;7
49;CUB;North America;Cuba;31/07/2020;2597;9;87;0;229;0.795;8;0;3502;267649;23.63;0.309;3376;0.298;180.397;0.006;tests performed;NA;11326616;110.408;43.1;14.738;9.719;NA;NA;190.968;8.27;17.1;53.3;85.198;5.2;78.8;7
50;CUW;North America;Curacao;31/07/2020;29;0;1;0;177;0;6;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;164100;362.644;41.7;16.367;10.068;NA;NA;NA;11.62;NA;NA;NA;NA;78.88;7
51;CYP;Europe;Cyprus;31/07/2020;1084;4;19;0;1238;4.567;22;0;NA;NA;NA;NA;NA;NA;NA;NA;;52.78;875899;127.657;37.3;13.416;8.563;32.415.132;NA;141.171;9.24;19.6;52.7;NA;3.4;80.98;7
52;CZE;Europe;Czech Republic;31/07/2020;16342;249;379;5;1526;23.252;35;0.467;8110;699239;65.295;0.757;6050;0.565;27.464;0.036;tests performed;36.11;10708982;137.176;43.3;19.027;11.58;32.605.906;NA;227.485;6.82;30.5;38.3;NA;6.63;79.38;7
54;DNK;Europe;Denmark;31/07/2020;13725;91;615;1;2370;15.711;106;0.173;19703;1540695;265.995;3.402;18004;3.108;376.203;0.003;tests performed;60.19;5792203;136.52;42.3;19.677;12.325;46.682.515;0.2;114.767;6.41;19.3;18.8;NA;2.5;80.9;7
55;DJI;Africa;Djibouti;31/07/2020;5081;0;58;0;5143;0;59;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;988002;41.285;25.4;4.213;2.38;2.705.406;22.5;258.037;6.05;1.7;24.5;NA;1.4;67.11;7
56;DMA;North America;Dominica;31/07/2020;18;0;0;0;250;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;36.11;71991;98.567;NA;NA;NA;9.673.367;NA;227.376;11.62;NA;NA;NA;3.8;75;7
57;DOM;North America;Dominican Republic;31/07/2020;67915;1733;1146;23;6261;159.754;106;2.12;NA;NA;NA;NA;NA;NA;NA;NA;;NA;10847904;222.873;27.6;6.981;4.419;14.600.861;1.6;266.653;8.2;8.5;19.1;55.182;1.6;74.08;7
58;ECU;South America;Ecuador;31/07/2020;84370;1177;5657;34;4782;66.712;321;1.927;2501;181594;10.293;0.142;2269;0.129;NA;NA;units unclear;81.02;17643060;66.939;28.1;7.104;4.458;10.581.936;3.6;140.448;5.55;2;12.3;80.635;1.5;77.01;7
59;EGY;Africa;Egypt;31/07/2020;93757;401;4774;46;916;3.919;47;0.45;NA;NA;NA;NA;NA;NA;NA;NA;;60.19;102334403;97.999;25.3;5.159;2.891;10.550.206;1.3;525.432;17.31;0.2;50.1;89.827;1.6;71.99;7
60;SLV;North America;El Salvador;31/07/2020;16230;389;439;9;2502;59.973;68;1.388;NA;NA;NA;NA;NA;NA;NA;NA;;NA;6486201;307.811;27.6;8.273;5.417;7.292.458;2.2;167.295;8.87;2.5;18.8;90.65;1.3;73.32;7
61;GNQ;Africa;Equatorial Guinea;31/07/2020;3071;0;51;0;2189;0;36;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;1402985;45.194;22.4;2.846;1.752;22.604.873;NA;202.812;7.78;NA;NA;24.64;2.1;58.74;7
62;ERI;Africa;Eritrea;31/07/2020;279;14;0;0;79;3.948;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;3546427;44.304;19.3;3.607;2.171;1.510.459;NA;311.11;6.05;0.2;11.4;NA;0.7;66.32;7
63;EST;Europe;Estonia;31/07/2020;2051;9;63;0;1546;6.785;47;0;530;119743;90.267;0.4;444;0.335;129.5;0.008;tests performed;NA;1326539;31.033;42.7;19.452;13.491;29.481.252;0.5;255.569;4.02;24.5;39.3;NA;4.69;78.74;7
64;ETH;Africa;Ethiopia;31/07/2020;16615;805;263;10;145;7.002;2;0.087;NA;NA;NA;NA;NA;NA;NA;NA;;77.78;114963583;104.957;19.8;3.526;2.063;1.729.927;26.7;182.634;7.47;0.4;8.5;7.96;0.3;66.6;7
65;FRO;Europe;Faeroe Islands;31/07/2020;220;0;0;0;4502;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;48865;35.308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80.67;7
67;FJI;Oceania;Fiji;31/07/2020;27;0;0;0;30;0;0;0;12;6936;7.737;0.013;42;0.047;NA;0;samples tested;NA;896444;49.562;28.6;6.224;3.284;8.702.975;1.4;412.82;14.49;10.2;34.8;NA;2.3;67.44;7
68;FIN;Europe;Finland;31/07/2020;7423;9;329;0;1340;1.624;59;0;5331;372074;67.153;0.962;4353;0.786;597.471;0.002;samples tested;NA;5540718;18.136;42.8;21.228;13.264;40.585.721;NA;153.507;5.76;18.3;22.6;NA;3.28;81.91;7
69;FRA;Europe;France;31/07/2020;186573;1377;30254;16;2858;21.096;463;0.245;87328;NA;NA;1.338;72890;1.117;71.112;0.014;people tested;NA;65273512;122.578;42;19.718;13.079;38.605.671;NA;86.06;4.77;30.1;35.6;NA;5.98;82.66;7
70;PYF;Oceania;French Polynesia;31/07/2020;62;0;0;0;221;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;280904;77.324;32.7;7.775;4.593;NA;NA;NA;22.63;NA;NA;NA;NA;77.66;7
71;GAB;Africa;Gabon;31/07/2020;7352;0;49;0;3303;0;22;0;NA;NA;NA;NA;NA;NA;NA;NA;;69.44;2225728;7.859;23.1;4.45;2.976;16.562.413;3.4;259.967;7.2;NA;NA;NA;6.3;66.47;7
72;GMB;Africa;Gambia;31/07/2020;403;77;8;0;167;31.862;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;22.22;2416664;207.566;17.5;2.339;1.417;1.561.767;10.1;331.43;1.91;0.7;31.2;7.876;1.1;62.05;7
73;GEO;Asia;Georgia;31/07/2020;1160;5;17;0;291;1.253;4;0;NA;NA;NA;NA;NA;NA;NA;NA;;53.7;3989175;65.032;38.7;14.864;10.244;9.745.079;4.2;496.218;7.11;5.3;55.5;NA;2.6;73.77;7
74;DEU;Europe;Germany;31/07/2020;208698;870;9141;7;2491;10.384;109;0.084;NA;NA;NA;NA;NA;NA;NA;NA;;48.61;83783945;237.016;46.6;21.453;15.957;45.229.245;NA;156.139;8.31;28.2;33.1;NA;8;81.33;7
75;GHA;Africa;Ghana;31/07/2020;35142;0;175;0;1131;0;6;0;2715;399446;12.855;0.087;3548;0.114;5.2;0.192;units unclear;52.78;31072945;126.719;21.1;3.385;1.948;4227.63;12;298.245;4.97;0.3;7.7;41.047;0.9;64.07;7
76;GIB;Europe;Gibraltar;31/07/2020;187;1;0;0;5550;29.682;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;33691;3457.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79.93;7
77;GRC;Europe;Greece;31/07/2020;4401;65;203;0;422;6.236;19;0;NA;NA;NA;NA;13311;1.277;320.196;0.003;samples tested;51.85;10423056;83.479;45.3;20.396;14.524;24.574.382;1.5;175.695;4.55;35.3;52;NA;4.21;82.24;7
78;GRL;North America;Greenland;31/07/2020;14;0;0;0;247;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;56772;0.137;NA;NA;NA;NA;NA;199.941;2.16;NA;NA;NA;NA;71.7;7
79;GRD;North America;Grenada;31/07/2020;24;0;0;0;213;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;112519;317.132;29.4;7.304;5.021;13.593.877;NA;243.964;10.71;NA;NA;NA;3.7;72.4;7
80;GUM;Oceania;Guam;31/07/2020;356;2;5;0;2109;11.85;30;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;168783;304.128;31.4;9.551;5.493;NA;NA;310.496;21.52;NA;NA;NA;NA;80.07;7
81;GTM;North America;Guatemala;31/07/2020;48826;1221;1867;32;2725;68.153;104;1.786;NA;NA;NA;NA;NA;NA;NA;NA;;NA;17915567;157.834;22.9;4.694;3.016;7.423.808;8.7;155.898;10.18;NA;NA;76.665;0.6;74.3;7
83;GIN;Africa;Guinea;31/07/2020;7242;59;46;0;551;4.493;4;0;NA;NA;NA;NA;NA;NA;NA;NA;;72.22;13132792;51.755;19;3.135;1.733;1.998.926;35.3;336.717;2.42;NA;NA;17.45;0.3;61.6;7
84;GNB;Africa;Guinea-Bissau;31/07/2020;1981;27;26;0;1007;13.72;13;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;1967998;66.191;19.4;3.002;1.565;1.548.675;67.1;382.474;2.42;NA;NA;6.403;NA;58.32;7
85;GUY;South America;Guyana;31/07/2020;401;3;20;0;510;3.814;25;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;786559;3.952;26.3;5.305;2.837;7.435.047;NA;373.159;11.62;NA;NA;77.159;1.6;69.91;7
86;HTI;North America;Haiti;31/07/2020;7412;34;161;2;650;2.982;14;0.175;NA;NA;NA;NA;NA;NA;NA;NA;;NA;11402533;398.448;24.3;4.8;2.954;1.653.173;23.5;430.548;6.65;2.9;23.1;22.863;0.7;64;7
87;HND;North America;Honduras;31/07/2020;41426;482;1312;53;4182;48.664;132;5.351;NA;NA;NA;NA;NA;NA;NA;NA;;NA;9904608;82.805;24.9;4.652;2.883;4.541.795;16;240.208;7.21;2;NA;84.169;0.7;75.27;7
88;HUN;Europe;Hungary;31/07/2020;4505;21;596;0;466;2.174;62;0;2702;339163;35.109;0.28;2758;0.285;180.43;0.006;tests performed;NA;9660350;108.043;43.4;18.577;11.976;26.777.561;0.5;278.296;7.55;26.8;34.8;NA;7.02;76.88;7
89;ISL;Europe;Iceland;31/07/2020;1872;11;10;0;5486;32.234;29;0;1324;71930;210.784;3.88;434;1.272;98;0.01;tests performed;39.81;341250;3.404;37.3;14.431;9.207;46.482.958;0.2;117.992;5.31;14.3;15.2;NA;2.91;82.99;7
90;IND;Asia;India;31/07/2020;1638870;55078;35747;779;1188;39.911;26;0.564;642588;18832970;13.647;0.466;486400;0.352;9.702;0.103;samples tested;NA;1380004385;450.419;28.2;5.989;3.414;6.426.674;21.2;282.28;10.39;1.9;20.6;59.55;0.53;69.66;7
91;IDN;Asia;Indonesia;31/07/2020;106336;1904;5058;83;389;6.961;18;0.303;10536;866539;3.168;0.039;12777;0.047;7.054;0.142;people tested;NA;273523621;145.725;29.3;5.319;3.053;11.188.744;5.7;342.864;6.32;2.8;76.1;64.204;1.04;71.72;7
92;IRN;Asia;Iran;31/07/2020;301530;2621;16569;226;3590;31.205;197;2.691;NA;2456909;29.251;NA;25504;0.304;10.204;0.098;tests performed;64.35;83992953;49.831;32.4;5.44;3.182;19082.62;0.2;270.308;9.59;0.8;21.1;NA;1.5;76.68;7
93;IRQ;Asia;Iraq;31/07/2020;121263;2963;4671;68;3015;73.665;116;1.691;NA;NA;NA;NA;NA;NA;NA;NA;;NA;40222503;88.125;20;3.186;1.957;15.663.986;2.5;218.612;8.83;NA;NA;94.576;1.4;70.6;7
94;IRL;Europe;Ireland;31/07/2020;26027;85;1763;0;5271;17.214;357;0;3856;632854;128.165;0.781;5807;1.176;202.234;0.005;tests performed;NA;4937796;69.874;38.7;13.928;8.678;67.335.293;0.2;126.459;3.28;23;25.7;NA;2.96;82.3;7
95;IMN;Europe;Isle of Man;31/07/2020;336;0;24;0;3951;0;282;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;85032;147.872;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81.4;7
96;ISR;Asia;Israel;31/07/2020;70379;1823;503;12;8131;210.617;58;1.386;NA;NA;NA;NA;NA;NA;NA;NA;;NA;8655541;402.606;30.6;11.733;7.359;33132.32;0.5;93.32;6.74;15.4;35.4;NA;2.99;82.97;7
97;ITA;Europe;Italy;31/07/2020;247158;382;35132;3;4088;6.318;581;0.05;29686;4061667;67.177;0.491;27415;0.453;105.442;0.009;people tested;NA;60461828;205.859;47.9;23.021;16.24;35.220.084;2;113.151;4.78;19.8;27.8;NA;3.18;83.51;7
98;JAM;North America;Jamaica;31/07/2020;864;8;10;0;292;2.702;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;64.81;2961161;266.879;31.4;9.684;6.39;8.193.571;NA;206.537;11.28;5.3;28.6;66.425;1.7;74.47;7
